,title,location,summary,salary
0,Customer Care Proffessional (Voice),"Gurgaon, Haryana","MS office suites such as Excel, Word, PowerPoint.
Enhance our customers’ experience by finding opportunities to offer products based on our Cardmembers’ needs.","₹5,00,000 - ₹9,50,000 a year"
1,newFreelance Writer - Work from Home,"Remote in Delhi, Delhi","Submit a minimum of 5 articles (an average of 1,000 words each) per month.
Produce a minimum of 5 articles per month.
Experience in writing travel content.","₹4,000 - ₹15,000 a month"
2,Online Maths/Science Tutor for grades(1-7),Remote,"Taking a minimum of 3 Lectures in a day (Can take more if time permits) and a minimum of 6 days working (including weekends.
Preferred timings 2 PM to 8 PM.",₹225 - ₹350 an hour
3,Computer Operator,"New Delhi, Delhi","Job Types: Full-time, Part-time.
Experience of Computers (MS Word, Excel, Power Point), Emails, Good Typing Speed.","₹6,000 - ₹10,000 a month"
4,newFresher Hiring for documents verification process,"Malviya Nagar, Delhi, Delhi","Job Types: Full-time, Part-time, Regular / Permanent.
Attend calls & revert to E-mails professionally to provide information about products and services, obtain…","₹18,667 - ₹34,655 a month"
5,Computer operater,"Delhi, Delhi",Computer operators *monitor and control computer and electronic data processing equipment according to standardized operating instructions*.,"₹12,000 a month"
6,newSpa Therapist,"Delhi, Delhi+1 location","Part-time hours: 15 per week.
Candidate should possess good communication skill, must be hard working and flexible.
Job Types: Full-time, Part-time.","₹52,000 - ₹55,000 a month"
7,Data Entry Operator,"Lucknow, Uttar Pradesh","Knowledge Of computer is a must.
Main work is, Data entry of Documents and Catalogues on the company server.
Zero Experience Candidates can also apply.",₹25 - ₹70 an hour
8,Freelance Content Writer,"Gurgaon, Haryana","Gurugram, Haryana: Reliably commute or planning to relocate before starting work (Required).
Total work: 1 year (Preferred).","₹9,372 - ₹40,473 a month"
9,Excel Project Developer-Contract Position,"Remote in Punjabi Bagh, Delhi, Delhi","In Spreadsheet we need to add hours with key in for each employee, students’ classes even when they weekly get the schedule on hourly basis and determine…","₹8,000 - ₹15,000 a week"
